,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
153,stations,{'all': 40},200,"{'lon': -68.3, 'lat': -54.8}",1512864000.0,3833367.0,"{'temp': 42.8, 'pressure': 995, 'humidity': 81, 'temp_min': 42.8, 'temp_max': 42.8}",,Ushuaia,,"{'type': 1, 'id': 4754, 'message': 0.1658, 'country': 'AR', 'sunrise': 1512892238, 'sunset': 1512954135}",10000.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]","{'speed': 26.4, 'deg': 250, 'gust': 17}"
154,stations,{'all': 0},200,"{'lon': -134.97, 'lat': -23.12}",1512866669.0,4030556.0,"{'temp': 78.49, 'pressure': 1028.29, 'humidity': 100, 'temp_min': 78.49, 'temp_max': 78.49, 'sea_level': 1028.33, 'grnd_level': 1028.29}",,Rikitea,,"{'message': 0.1649, 'country': 'PF', 'sunrise': 1512914828, 'sunset': 1512963532}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.13, 'deg': 58.0023}"
155,stations,{'all': 80},200,"{'lon': 39.51, 'lat': 68.05}",1512866847.0,556268.0,"{'temp': 13.51, 'pressure': 998.21, 'humidity': 91, 'temp_min': 13.51, 'temp_max': 13.51, 'sea_level': 1025.33, 'grnd_level': 998.21}",,Ostrovnoy,,"{'message': 0.1692, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 10.96, 'deg': 168.502}"
156,stations,{'all': 20},200,"{'lon': 118.33, 'lat': 63.28}",1512866848.0,2018735.0,"{'temp': -29.38, 'pressure': 1030.8, 'humidity': 48, 'temp_min': -29.38, 'temp_max': -29.38, 'sea_level': 1056.45, 'grnd_level': 1030.8}",,Nyurba,,"{'message': 0.1762, 'country': 'RU', 'sunrise': 1512869619, 'sunset': 1512887096}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 5.14, 'deg': 232.002}"
157,,,404,,,,,city not found,,,,,,
158,stations,{'all': 92},200,"{'lon': -14.42, 'lat': -7.93}",1512866850.0,2411397.0,"{'temp': 75.07, 'pressure': 1026.99, 'humidity': 100, 'temp_min': 75.07, 'temp_max': 75.07, 'sea_level': 1026.99, 'grnd_level': 1026.99}",,Georgetown,,"{'message': 0.0083, 'country': 'SH', 'sunrise': 1512887598, 'sunset': 1512932875}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 14.09, 'deg': 122.502}"
159,stations,{'all': 36},200,"{'lon': 37.02, 'lat': 48.91}",1512866852.0,712794.0,"{'temp': 40.1, 'pressure': 1010.29, 'humidity': 96, 'temp_min': 40.1, 'temp_max': 40.1, 'sea_level': 1026.79, 'grnd_level': 1010.29}",,Barvinkove,{'3h': 0.13},"{'message': 0.1642, 'country': 'UA', 'sunrise': 1512882870, 'sunset': 1512912892}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 9.4, 'deg': 187.502}"
160,stations,{'all': 12},200,"{'lon': 127.27, 'lat': 53.75}",1512866853.0,2012593.0,"{'temp': -29.47, 'pressure': 966.44, 'humidity': 45, 'temp_min': -29.47, 'temp_max': -29.47, 'sea_level': 1041.78, 'grnd_level': 966.44}",,Zeya,,"{'message': 0.17, 'country': 'RU', 'sunrise': 1512862616, 'sunset': 1512889810}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 2.24, 'deg': 357.502}"
161,stations,{'all': 20},200,"{'lon': -70.92, 'lat': -53.15}",1512864000.0,3874787.0,"{'temp': 48.2, 'pressure': 1000, 'humidity': 61, 'temp_min': 48.2, 'temp_max': 48.2}",,Punta Arenas,,"{'type': 1, 'id': 4642, 'message': 0.1661, 'country': 'CL', 'sunrise': 1512893497, 'sunset': 1512954132}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 21.92, 'deg': 260}"
162,stations,{'all': 75},200,"{'lon': 15.64, 'lat': 78.22}",1512863400.0,2729907.0,"{'temp': 26.6, 'pressure': 1015, 'humidity': 68, 'temp_min': 26.6, 'temp_max': 26.6}",,Longyearbyen,,"{'type': 1, 'id': 5326, 'message': 0.1746, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}",10000.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]","{'speed': 18.34, 'deg': 150}"
